filename,photo_id,date_taken,date_posted,photo_latitude,photo_longitude,photo_comments,photo_views,photo_favorites,user_id,user_ispro,user_latitude,user_longitude,user_firstdatetaken,user_firstdateposted,user_photocount
10106383705_fbc3ab273d_b.jpg,10106383705,2013-08-26 15:14:22,2013-10-05 17:56:59,,,0,50,0,83643717@N04,0,,,2007-12-05 16:52:25,2012-07-27 14:31:02,1796
10106383945_6b9e003b78_b.jpg,10106383945,2013-08-26 15:14:44,2013-10-05 17:56:58,,,0,58,0,83643717@N04,0,,,2007-12-05 16:52:25,2012-07-27 14:31:02,1796
10126691024_3922f18818_b.jpg,10126691024,2013-03-16 10:38:31,2013-10-06 17:31:37,53.224663,-2.885759,0,52,0,20747318@N08,1,53.599708,-1.4539629,2003-01-01 00:00:00,2007-12-01 11:22:14,275144
10126693124_8dddbb7338_b.jpg,10126693124,2013-03-16 10:38:35,2013-10-06 17:31:46,53.224661,-2.885770,0,40,0,20747318@N08,1,53.599708,-1.4539629,2003-01-01 00:00:00,2007-12-01 11:22:14,275144
10126701494_a216b1e5a4_b.jpg,10126701494,2013-03-16 10:40:29,2013-10-06 17:32:19,53.224597,-2.885745,0,50,0,20747318@N08,1,53.599708,-1.4539629,2003-01-01 00:00:00,2007-12-01 11:22:14,275144
10126741635_7ecd338b89_b.jpg,10126741635,2013-03-16 10:36:43,2013-10-06 17:31:23,53.225116,-2.885812,0,110,0,20747318@N08,1,53.599708,-1.4539629,2003-01-01 00:00:00,2007-12-01 11:22:14,275144
10126742285_bda4cceb16_b.jpg,10126742285,2013-03-16 10:37:24,2013-10-06 17:31:26,53.225002,-2.885853,0,49,0,20747318@N08,1,53.599708,-1.4539629,2003-01-01 00:00:00,2007-12-01 11:22:14,275144
10126753585_880f359569_b.jpg,10126753585,2013-03-16 10:40:05,2013-10-06 17:32:12,53.224586,-2.885698,0,113,0,20747318@N08,1,53.599708,-1.4539629,2003-01-01 00:00:00,2007-12-01 11:22:14,275144
10126820756_7e652a510e_b.jpg,10126820756,2013-03-16 10:36:19,2013-10-06 17:31:21,53.225144,-2.885809,0,37,0,20747318@N08,1,53.599708,-1.4539629,2003-01-01 00:00:00,2007-12-01 11:22:14,275144
10126823676_d6ace224c9_b.jpg,10126823676,2013-03-16 10:37:32,2013-10-06 17:31:32,53.225002,-2.885862,0,51,0,20747318@N08,1,53.599708,-1.4539629,2003-01-01 00:00:00,2007-12-01 11:22:14,275144
10129640544_f10835a4cf_b.jpg,10129640544,2012-02-04 14:57:49,2013-10-06 21:00:34,,,9,481,5,62866864@N08,0,,,2007-08-17 05:49:21,2011-06-18 14:42:44,251
10216131964_c699374108_b.jpg,10216131964,2013-09-22 09:33:44,2013-10-11 18:48:50,35.651460,139.401535,0,67,0,24256658@N06,1,,,2004-04-29 10:00:00,2008-02-29 07:31:10,41419
10216134664_bfaa7c41b6_b.jpg,10216134664,2013-09-22 09:33:46,2013-10-11 18:48:49,35.651460,139.401535,0,74,0,24256658@N06,1,,,2004-04-29 10:00:00,2008-02-29 07:31:10,41419
